Date;S&Pprice;;;;;;;
2-Apr-31;16.45;;;;;;;
6-Apr-31;16.5;;;;;;;
7-Apr-31;16.28;;;;;;;
9-Apr-31;16.41;;;;;;;
10-Apr-31;16.46;;;;;;;
13-Apr-31;16.72;;;;;;;
14-Apr-31;16.51;;;;;;;
15-Apr-31;16.18;;;;;;;
20-Apr-31;15.96;;;;;;;
23-Apr-31;15.29;;;;;;;
27-Apr-31;14.76;;;;;;;
28-Apr-31;14.67;;;;;;;
29-Apr-31;14.37;;;;;;;
1-May-31;14.65;;;;;;;
6-May-31;15.01;;;;;;;
7-May-31;14.95;;;;;;;
8-May-31;15.44;;;;;;;
11-May-31;15.19;;;;;;;
12-May-31;15.04;;;;;;;
13-May-31;14.99;;;;;;;
14-May-31;14.66;;;;;;;
18-May-31;13.84;;;;;;;
19-May-31;13.83;;;;;;;
20-May-31;13.75;;;;;;;
21-May-31;13.89;;;;;;;
22-May-31;13.94;;;;;;;
25-May-31;13.4;;;;;;;
26-May-31;13.41;;;;;;;
27-May-31;13.26;;;;;;;
28-May-31;13.31;;;;;;;
29-May-31;13.02;;;;;;;
1-Jun-31;12.4;;;;;;;
2-Jun-31;12.2;;;;;;;
3-Jun-31;13.12;;;;;;;
4-Jun-31;13.55;;;;;;;
8-Jun-31;13.56;;;;;;;
9-Jun-31;13.34;;;;;;;
10-Jun-31;13.7;;;;;;;
11-Jun-31;13.73;;;;;;;
15-Jun-31;13.63;;;;;;;
16-Jun-31;13.66;;;;;;;
17-Jun-31;13.51;;;;;;;
18-Jun-31;13.27;;;;;;;
19-Jun-31;13.22;;;;;;;
22-Jun-31;14.61;;;;;;;
23-Jun-31;14.41;;;;;;;
26-Jun-31;15.35;;;;;;;
30-Jun-31;14.83;;;;;;;
1-Jul-31;15.07;;;;;;;
3-Jul-31;15.26;;;;;;;
6-Jul-31;15.1;;;;;;;
7-Jul-31;14.51;;;;;;;
9-Jul-31;14.49;;;;;;;
10-Jul-31;14.63;;;;;;;
13-Jul-31;14.23;;;;;;;
14-Jul-31;14.09;;;;;;;
15-Jul-31;13.8;;;;;;;
16-Jul-31;14.14;;;;;;;
17-Jul-31;14.27;;;;;;;
20-Jul-31;14.46;;;;;;;
21-Jul-31;14.62;;;;;;;
22-Jul-31;14.28;;;;;;;
24-Jul-31;13.97;;;;;;;
27-Jul-31;14.03;;;;;;;
28-Jul-31;14.18;;;;;;;
29-Jul-31;13.74;;;;;;;
3-Aug-31;13.93;;;;;;;
5-Aug-31;13.64;;;;;;;
7-Aug-31;13.61;;;;;;;
11-Aug-31;13.99;;;;;;;
13-Aug-31;14.02;;;;;;;
14-Aug-31;14.29;;;;;;;
17-Aug-31;14.05;;;;;;;
18-Aug-31;14.1;;;;;;;
20-Aug-31;14.17;;;;;;;
21-Aug-31;13.86;;;;;;;
27-Aug-31;13.85;;;;;;;
1-Sep-31;13.92;;;;;;;
3-Sep-31;13.35;;;;;;;
4-Sep-31;13.29;;;;;;;
8-Sep-31;12.87;;;;;;;
9-Sep-31;12.76;;;;;;;
10-Sep-31;12.62;;;;;;;
11-Sep-31;12.69;;;;;;;
14-Sep-31;12.1;;;;;;;
15-Sep-31;11.99;;;;;;;
16-Sep-31;11.82;;;;;;;
17-Sep-31;12.04;;;;;;;
18-Sep-31;11.46;;;;;;;
21-Sep-31;10.93;;;;;;;
22-Sep-31;10.8;;;;;;;
23-Sep-31;11.52;;;;;;;
24-Sep-31;10.68;;;;;;;
